genes	INSR	HFE	NFIC	PPP1R13L	TREM2	PSMA1	DPP10	MTHFD1L	CLASRP	VSNL1	MAN2A1	CYP8B1	MAPT	CLMN	CCR2	HS3ST1	FERMT2	BLOC1S3	HLA-DRB5	PICALM	APOC2	CLNK	HLA-DRB1	SLC24A4	CHRNA2	CLPTM1	PPARG	MMP12	MS4A4A	ACHE	SORCS1	ABCA7	TCF7L2	EXOC3L2	DSG2	CEACAM16	CELF1	PILRA	PLCG2	ZNF652	LILRA5	SCN1A	FRMD4A	CACNA2D1	CACNA1G	CHRNA7	UBQLN1	APOC4	PACSIN3	CRH	SCARB1	ZCWPW1	SUCLG2	MAPK8IP1	NKPD1	BIN1	APOB	KIT	GRIN2A	SCN8A	PTK2B	PLAU	VLDLR	BACE1	UBE2L3	APP	NME8	PDGFRB	ADAM10	CNTNAP2	CNTNAP5	BZW2	HMGCR	TRAPPC6A	CASS4	CDC25B	ALDH1A2	ALDH5A1	CLU	SCIMP	CALHM1	CHRNB2	EPHA1	SPON1	VASP	MMP3	LIPG	CBLC	IL1B	TOMM40	IGSF23	ECE1	MADD	HLA-DRA	GLIS3	CD33	MT-ND2	HBEGF	CCRL2	STAT4	INPP5D	ADAMTS4	MMP13	PPP1R37	MS4A4E	RELB	MS4A6A	APOE	OARD1	BCAM	RBFOX1	TFCP2	PSEN1	GSK3B	ABCA1	ABI3	BCHE	MS4A2	HARBI1	LRP4	PSEN2	PVR	BCAS3	ACE	KIR3DL2	SYNJ1	PFDN1	MYO16	RIN3	ECHDC3	MARK4	APOC1	BCL3	APH1B	CD2AP	GAB2	PVRL2	FBXL7	OR4S1	IL6R	CR1	GRIN3B	CRY2	ESR1	SORL1	BCL2	ACP2	label
SFTA2	0.0196736	0.015768	0.0168594	0.015768	0.0196736	0.0231566	0.0168594	0.0168594	0.0196736	0.0168594	0.0231566	0.00997894	0.0196736	0.0196736	0.0209283	0.015768	0.0231566	0.0209283	0.0196736	0.0231566	0.015768	0.0240564	0.0168594	0.0168594	0.00997894	0.00997894	0.0209283	0.00997894	0.0168594	0.029061	0.0168594	0.015768	0.0196736	0.0240564	0.0240564	0.015768	0.0168594	0.0209283	0.0209283	0.0196736	0.0209283	0.0168594	0.0209283	0.0231566	0.015768	0.00997894	0.0231566	0.0240564	0.0240564	0.015768	0.0168594	0.0196736	0.0196736	0.0209283	0.0209283	0.0196736	0.0209283	0.0196736	0.0196736	0.0168594	0.015768	0.0240564	0.00997894	0.0196736	0.0231566	0.0231566	0.0240564	0.00997894	0.0196736	0.0196736	0.00997894	0.0196736	0.0196736	0.0168594	0.0209283	0.0168594	0.0240564	0.0196736	0.0196736	0.0209283	0.015768	0.0209283	0.0209283	0.0168594	0.0209283	0.00997894	0.00997894	0.0268917	0.0209283	0.00997894	0.00997894	0.0268917	0.0196736	0.0196736	0.0168594	0.015768	0.00997894	0.015768	0.0268917	0.015768	0.0240564	0.015768	0.0168594	0.0240564	0.00997894	0.029061	0.0168594	0.015768	0.0196736	0.029061	0.00997894	0.0231566	0.0196736	0.0196736	0.0168594	0.015768	0.0231566	0.0209283	0.0168594	0.0168594	0.0209283	0.0209283	0.00997894	0.0209283	0.00997894	0.0231566	0.0231566	0.0168594	0.0268917	0.0209283	0.0168594	0.00997894	0.0209283	0.0168594	0.0196736	0.0231566	0.0240564	0.0231566	0.00997894	0.0196736	0.00997894	0.00997894	0.0240564	0.0240564	0.0196736	0.015768	0.0168594	0
CYS1	0.373767	0.302614	0.0710057	0.244246	0.114868	0.0315764	0.0364888	0.198237	0.0196736	0.0420531	0.373767	0.0550379	0.226757	0.0196736	0.268658	0.090157	0.114735	0.132079	0.00997894	0.373767	0.0168594	0.0638137	0.015768	0.249939	0.0738767	0.0268917	0.238907	0.0933303	0.015768	0.226757	0.119785	0.0638137	0.373767	0.0268917	0.0385218	0.00997894	0.198237	0.170089	0.23411	0.0196736	0.0231566	0.14903	0.0231566	0.090157	0.139482	0.238907	0.0315764	0.015768	0.0240564	0.420457	0.302614	0.0231566	0.0231566	0.373767	0.029061	0.368218	0.14903	0.531995	0.222481	0.194908	0.202848	0.492922	0.194908	0.152369	0.120477	0.249807	0.0168594	0.302614	0.373767	0.0710057	0.0268917	0.0315764	0.086113	0.0168594	0.015768	0.249807	0.155765	0.155765	0.0351317	0.103913	0.0168594	0.268658	0.287087	0.0168594	0.249807	0.0710057	0.137452	0.0209283	0.23411	0.0315764	0.00997894	0.420457	0.120477	0.0168594	0.140606	0.00997894	0.00997894	0.249807	0.0196736	0.445544	0.423248	0.249807	0.103913	0.0480393	0.00997894	0.353955	0.0168594	0.531995	0.00997894	0.206106	0.250052	0.0315764	0.268658	0.373767	0.373767	0.0168594	0.090157	0.0168594	0.0315764	0.238907	0.226757	0.0240564	0.0196736	0.399939	0.00997894	0.327847	0.373767	0.0231566	0.00997894	0.0316164	0.137697	0.0385218	0.278893	0.0196736	0.373767	0.132079	0.0738767	0.0231566	0.015768	0.250852	0.0168594	0.170089	0.445544	0.420457	0.103913	0.302614	0.373767	0
TMEM207	0.0231566	0.00997894	0.0231566	0.0364888	0.0168594	0.0315764	0.0315764	0.0231566	0.0196736	0.0231566	0.0315764	0.0422906	0.0315764	0.0196736	0.0331031	0.0315764	0.0315764	0.0231566	0.0196736	0.0315764	0.015768	0.0573845	0.0196736	0.0196736	0.029061	0.0231566	0.015768	0.0351317	0.0168594	0.0231566	0.0315764	0.0196736	0.0231566	0.0422906	0.0209283	0.0268917	0.0231566	0.0209283	0.0168594	0.0231566	0.0268917	0.0196736	0.0315764	0.0315764	0.0231566	0.0168594	0.0315764	0.0422906	0.0240564	0.0168594	0.0315764	0.0196736	0.0315764	0.0231566	0.0240564	0.0231566	0.0408771	0.0231566	0.0168594	0.0231566	0.00997894	0.0351317	0.0231566	0.0315764	0.0315764	0.0231566	0.0209283	0.0315764	0.0315764	0.0315764	0.0209283	0.0231566	0.0315764	0.0196736	0.0316164	0.0315764	0.00997894	0.0315764	0.0315764	0.0268917	0.0268917	0.0196736	0.0364888	0.0231566	0.0196736	0.0331031	0.00997894	0.0451171	0.0381232	0.0231566	0.00997894	0.0168594	0.0315764	0.0196736	0.0196736	0.0364888	0.00997894	0.0196736	0.015768	0.0231566	0.00997894	0.00997894	0.0316164	0.0196736	0.00997894	0.015768	0.0168594	0.0231566	0.0196736	0.00997894	0.0315764	0.0315764	0.0231566	0.0231566	0.0231566	0.00997894	0.0231566	0.0455834	0.0196736	0.0231566	0.015768	0.0168594	0.0315764	0.0168594	0.0209283	0.0315764	0.0231566	0.0315764	0.029061	0.0268917	0.0231566	0.00997894	0.0240564	0.0231566	0.0315764	0.0231566	0.00997894	0.015768	0.015768	0.0196736	0.00997894	0.00997894	0.0231566	0.015768	0.0315764	0.0168594	0.0315764	0
FAHD2B	0.015768	0.015768	0.015768	0.015768	0.015768	0.00997894	0.015768	0.015768	0.00997894	0.00997894	0.0209283	0.00997894	0.00997894	0.0209283	0.00997894	0.015768	0.00997894	0.00997894	0.00997894	0.0209283	0.00997894	0.015768	0.00997894	0.00997894	0.00997894	0.015768	0.00997894	0.00997894	0.00997894	0.015768	0.00997894	0.00997894	0.015768	0.00997894	0.015768	0.015768	0.015768	0.0209283	0.00997894	0.00997894	0.00997894	0.0209283	0.015768	0.015768	0.00997894	0.015768	0.00997894	0.015768	0.015768	0.015768	0.015768	0.015768	0.015768	0.015768	0.00997894	0.00997894	0.015768	0.00997894	0.015768	0.015768	0.015768	0.00997894	0.015768	0.015768	0.00997894	0.0240564	0.00997894	0.00997894	0.00997894	0.00997894	0.015768	0.0209283	0.00997894	0.029061	0.00997894	0.015768	0.00997894	0.015768	0.015768	0.015768	0.015768	0.00997894	0.00997894	0.0209283	0.00997894	0.015768	0.00997894	0.00997894	0.015768	0.015768	0.00997894	0.015768	0.015768	0.00997894	0.015768	0.00997894	0.00997894	0.0209283	0.015768	0.015768	0.015768	0.00997894	0.015768	0.00997894	0.00997894	0.015768	0.015768	0.00997894	0.015768	0.0240564	0.015768	0.00997894	0.00997894	0.015768	0.0209283	0.00997894	0.00997894	0.00997894	0.00997894	0.015768	0.015768	0.015768	0.00997894	0.00997894	0.00997894	0.00997894	0.015768	0.00997894	0.00997894	0.015768	0.00997894	0.015768	0.00997894	0.00997894	0.0240564	0.00997894	0.00997894	0.015768	0.015768	0.015768	0.00997894	0.00997894	0.015768	0.00997894	0.0209283	0.015768	0.015768	0
LIMS3	0.0196736	0.0573845	0.015768	0.0240564	0.0168594	0.0196736	0.0209283	0.015768	0.0196736	0.0168594	0.0231566	0.0268917	0.0196736	0.0231566	0.0240564	0.0196736	0.0196736	0.0209283	0.00997894	0.0231566	0.015768	0.0240564	0.0196736	0.0168594	0.038545	0.0196736	0.0240564	0.0209283	0.0168594	0.015768	0.00997894	0.015768	0.0168594	0.029061	0.00997894	0.00997894	0.0196736	0.00997894	0.00997894	0.0231566	0.0381232	0.0196736	0.0168594	0.00997894	0.0240564	0.00997894	0.0231566	0.015768	0.0196736	0.015768	0.0209283	0.0168594	0.0196736	0.00997894	0.015768	0.0196736	0.0268917	0.0231566	0.0196736	0.00997894	0.0196736	0.0364888	0.0196736	0.0196736	0.0196736	0.0231566	0.029061	0.0268917	0.0231566	0.0168594	0.015768	0.0196736	0.0231566	0.0209283	0.0316164	0.0168594	0.0209283	0.0231566	0.0168594	0.029061	0.029061	0.0268917	0.0351317	0.0168594	0.015768	0.00997894	0.0196736	0.00997894	0.0268917	0.00997894	0.00997894	0.0381232	0.00997894	0.0196736	0.0168594	0.0422906	0.00997894	0.0209283	0.0240564	0.00997894	0.0240564	0.0351317	0.015768	0.0268917	0.00997894	0.0408771	0.0408771	0.0231566	0.0231566	0.0364888	0.0168594	0.0231566	0.0231566	0.0231566	0.0196736	0.029061	0.0196736	0.0240564	0.0196736	0.0231566	0.00997894	0.0331031	0.00997894	0.0331031	0.015768	0.0231566	0.0196736	0.0316164	0.0381232	0.0168594	0.015768	0.0196736	0.0364888	0.0168594	0.0231566	0.0231566	0.0351317	0.0231566	0.00997894	0.0196736	0.0268917	0.015768	0.00997894	0.0364888	0.0231566	0.00997894	0.0240564	0
NME1-NME2	0.0231566	0.0231566	0.00997894	0.0231566	0.0316164	0.0933725	0.015768	0.00997894	0.00997894	0.0381232	0.0196736	0.0231566	0.0331031	0.0231566	0.0315764	0.0196736	0.0480393	0.0231566	0.0442577	0.0168594	0.015768	0.0196736	0.0420531	0.0168594	0.0315764	0.0364888	0.00997894	0.0315764	0.0351317	0.0196736	0.015768	0.0168594	0.0196736	0.0231566	0.0231566	0.00997894	0.0168594	0.0168594	0.0315764	0.0315764	0.0315764	0.0168594	0.0168594	0.00997894	0.0196736	0.015768	0.0331031	0.0196736	0.0231566	0.0168594	0.0196736	0.0315764	0.00997894	0.0168594	0.0231566	0.029061	0.0315764	0.0268917	0.0168594	0.0168594	0.0209283	0.0240564	0.0209283	0.0209283	0.0506398	0.0331031	0.0315764	0.015768	0.00997894	0.0240564	0.0168594	0.0575166	0.0364888	0.00997894	0.0231566	0.0535966	0.0231566	0.015768	0.0381232	0.0231566	0.0231566	0.0231566	0.0231566	0.0196736	0.0268917	0.0231566	0.0168594	0.0231566	0.0196736	0.0442577	0.00997894	0.00997894	0.0316164	0.0498384	0.015768	0.0196736	0.00997894	0.0231566	0.0196736	0.0408771	0.0168594	0.0168594	0.0315764	0.0168594	0.00997894	0.0196736	0.0351317	0.0196736	0.00997894	0.0315764	0.00997894	0.0268917	0.0168594	0.0196736	0.0231566	0.0168594	0.0196736	0.0231566	0.0231566	0.0231566	0.0240564	0.0196736	0.00997894	0.0231566	0.00997894	0.0268917	0.0420531	0.0196736	0.0196736	0.00997894	0.0364888	0.029061	0.015768	0.0168594	0.00997894	0.0268917	0.0209283	0.0196736	0.00997894	0.0196736	0.0315764	0.0196736	0.0209283	0.0315764	0.0351317	0.0315764	0.0585486	0
FAM219A	0.0196736	0.0196736	0.0647416	0.0231566	0.0196736	0.0196736	0.0573845	0.0315764	0.0422906	0.0809299	0.0315764	0.0231566	0.118092	0.015768	0.0231566	0.0268917	0.0196736	0.0231566	0.0168594	0.0231566	0.0231566	0.0196736	0.0231566	0.0420531	0.0231566	0.0818687	0.0196736	0.0231566	0.0196736	0.075155	0.0562352	0.0316164	0.00997894	0.00997894	0.0196736	0.0168594	0.00997894	0.0168594	0.0168594	0.0315764	0.0168594	0.0498384	0.0331031	0.0575166	0.053787	0.038545	0.00997894	0.0231566	0.0196736	0.0660758	0.0209283	0.00997894	0.0231566	0.0331031	0.0168594	0.0689016	0.0231566	0.015768	0.0364888	0.0666414	0.0631319	0.015768	0.029061	0.0631319	0.015768	0.0408771	0.0231566	0.015768	0.0231566	0.075155	0.0268917	0.0268917	0.0364888	0.0315764	0.0196736	0.0168594	0.0231566	0.0634819	0.0488975	0.0196736	0.00997894	0.0422906	0.00997894	0.029061	0.0168594	0.0196736	0.0231566	0.0231566	0.0231566	0.0451171	0.00997894	0.0381232	0.0535966	0.00997894	0.0196736	0.00997894	0.00997894	0.0331031	0.0196736	0.015768	0.00997894	0.015768	0.0196736	0.0488975	0.00997894	0.0168594	0.0196736	0.00997894	0.0168594	0.0168594	0.0732561	0.015768	0.0231566	0.0573845	0.0231566	0.00997894	0.0231566	0.0231566	0.0231566	0.0196736	0.00997894	0.0196736	0.0331031	0.0231566	0.0168594	0.0585486	0.015768	0.0422906	0.0168594	0.0231566	0.0733342	0.0231566	0.00997894	0.00997894	0.0231566	0.0451171	0.0196736	0.0168594	0.00997894	0.0168594	0.0168594	0.0196736	0.0660758	0.0351317	0.0331031	0.0168594	0.0168594	0
BCL2L2-PABPN1	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0.00997894	0
CASC1	0.0315764	0.0168594	0.0196736	0.029061	0.0231566	0.0231566	0.00997894	0.0196736	0.0231566	0.0364888	0.0315764	0.0168594	0.0385218	0.0231566	0.0638137	0.0231566	0.0315764	0.0168594	0.0168594	0.0231566	0.0196736	0.00997894	0.0231566	0.0240564	0.0638137	0.00997894	0.0385218	0.0168594	0.0196736	0.0209283	0.0209283	0.0638137	0.0385218	0.0168594	0.015768	0.00997894	0.0231566	0.0231566	0.0638137	0.0196736	0.0231566	0.0331031	0.0196736	0.015768	0.0168594	0.0240564	0.0196736	0.0231566	0.0231566	0.00997894	0.0196736	0.0231566	0.0209283	0.0168594	0.015768	0.0738767	0.0231566	0.086113	0.0240564	0.0196736	0.0196736	0.0738767	0.0231566	0.0231566	0.0231566	0.0231566	0.0351317	0.0231566	0.0231566	0.0209283	0.0209283	0.0168594	0.00997894	0.0315764	0.0196736	0.0315764	0.0231566	0.015768	0.0364888	0.00997894	0.0168594	0.0231566	0.0240564	0.0196736	0.0231566	0.015768	0.0168594	0.0196736	0.0638137	0.0315764	0.00997894	0.0209283	0.0231566	0.015768	0.015768	0.0168594	0.00997894	0.0196736	0.0196736	0.0420531	0.0638137	0.0168594	0.0196736	0.0168594	0.00997894	0.0168594	0.0196736	0.0315764	0.0168594	0.0168594	0.0240564	0.0196736	0.0231566	0.0209283	0.015768	0.0196736	0.0196736	0.00997894	0.0168594	0.015768	0.0408771	0.0231566	0.0168594	0.0892357	0.00997894	0.0168594	0.0231566	0.0209283	0.0196736	0.0196736	0.015768	0.0783123	0.0168594	0.00997894	0.0231566	0.0231566	0.015768	0.0231566	0.00997894	0.0196736	0.0196736	0.0268917	0.0196736	0.086113	0.0240564	0.086113	0.00997894	0
CCDC73	0.0168594	0.0196736	0.0231566	0.0240564	0.0209283	0.0315764	0.0168594	0.0231566	0.0231566	0.0231566	0.0315764	0.0268917	0.0315764	0.0196736	0.0240564	0.0231566	0.0315764	0.0231566	0.00997894	0.0231566	0.0240564	0.0451171	0.0196736	0.0196736	0.015768	0.0315764	0.0168594	0.00997894	0.015768	0.0196736	0.0196736	0.0196736	0.0231566	0.015768	0.0196736	0.00997894	0.0196736	0.0168594	0.0231566	0.0231566	0.0168594	0.0168594	0.0231566	0.0231566	0.0196736	0.0231566	0.0315764	0.0240564	0.0168594	0.0168594	0.0231566	0.0196736	0.0315764	0.0231566	0.00997894	0.0231566	0.0240564	0.0231566	0.00997894	0.0231566	0.0231566	0.0268917	0.0315764	0.0315764	0.0315764	0.0231566	0.0351317	0.0231566	0.0315764	0.0231566	0.0168594	0.0231566	0.0231566	0.0196736	0.00997894	0.0231566	0.0168594	0.0231566	0.0231566	0.0209283	0.015768	0.0168594	0.029061	0.0231566	0.0231566	0.0168594	0.0364888	0.0268917	0.0240564	0.0315764	0.00997894	0.0196736	0.0231566	0.00997894	0.0231566	0.015768	0.00997894	0.0315764	0.0196736	0.0168594	0.00997894	0.0231566	0.0240564	0.0231566	0.00997894	0.0231566	0.0231566	0.0231566	0.015768	0.0196736	0.00997894	0.0231566	0.0231566	0.0231566	0.0231566	0.0168594	0.0196736	0.0331031	0.0231566	0.0231566	0.00997894	0.0231566	0.0231566	0.0231566	0.0168594	0.0231566	0.0196736	0.0231566	0.015768	0.0231566	0.0231566	0.0231566	0.00997894	0.0315764	0.0315764	0.0196736	0.0196736	0.0209283	0.00997894	0.0168594	0.00997894	0.0168594	0.0315764	0.0168594	0.0231566	0.0196736	0.0231566	0
ZNF865	0.0451171	0.0231566	0.0240564	0.0442577	0.0209283	0.0315764	0.0231566	0.0231566	0.0168594	0.0315764	0.0315764	0.0809299	0.0231566	0.0196736	0.0442577	0.0315764	0.0315764	0.0231566	0.00997894	0.0315764	0.054523	0.0420531	0.0240564	0.00997894	0.0351317	0.029061	0.00997894	0.0488975	0.00997894	0.0196736	0.0231566	0.0231566	0.029061	0.0364888	0.0381232	0.0168594	0.0196736	0.0240564	0.0240564	0.00997894	0.0168594	0.0315764	0.0231566	0.0315764	0.0315764	0.0196736	0.0315764	0.0601434	0.0196736	0.0231566	0.0231566	0.0168594	0.0315764	0.0315764	0.0331031	0.015768	0.054523	0.0315764	0.015768	0.0315764	0.0231566	0.0607152	0.0315764	0.0168594	0.0315764	0.0315764	0.015768	0.0315764	0.0315764	0.0315764	0.00997894	0.0315764	0.0315764	0.015768	0.00997894	0.0315764	0.015768	0.0196736	0.0315764	0.0168594	0.0168594	0.015768	0.0522491	0.0315764	0.0196736	0.0422906	0.0351317	0.0607916	0.0455834	0.0196736	0.00997894	0.0168594	0.0196736	0.00997894	0.0168594	0.029061	0.00997894	0.0315764	0.029061	0.0498384	0.0666414	0.0231566	0.0240564	0.0364888	0.00997894	0.0240564	0.0168594	0.0315764	0.00997894	0.029061	0.0315764	0.0315764	0.0196736	0.0231566	0.0315764	0.0209283	0.0209283	0.0522491	0.00997894	0.0231566	0.0196736	0.0455834	0.0231566	0.0408771	0.0168594	0.0315764	0.0315764	0.0196736	0.0331031	0.0240564	0.0607916	0.0351317	0.0455834	0.0315764	0.0315764	0.0209283	0.0471829	0.0351317	0.015768	0.0422906	0.00997894	0.0209283	0.0168594	0.0351317	0.0231566	0.0196736	0.0231566	0
SPATA6L	0.0231566	0.0660758	0.0231566	0.0381232	0.015768	0.0315764	0.0196736	0.0231566	0.015768	0.0196736	0.0315764	0.0268917	0.0315764	0.0196736	0.0331031	0.0196736	0.0315764	0.015768	0.0196736	0.0315764	0.0351317	0.029061	0.0315764	0.0196736	0.0607152	0.0231566	0.0442577	0.015768	0.0196736	0.0196736	0.0196736	0.0231566	0.0231566	0.0420531	0.0209283	0.0168594	0.0231566	0.0316164	0.029061	0.0315764	0.054523	0.0231566	0.0315764	0.0315764	0.0240564	0.0231566	0.0231566	0.0498384	0.0315764	0.0231566	0.00997894	0.0420531	0.0315764	0.0315764	0.00997894	0.0231566	0.0351317	0.0315764	0.00997894	0.0231566	0.0209283	0.0422906	0.0315764	0.0315764	0.0315764	0.0315764	0.0331031	0.0231566	0.0315764	0.0196736	0.00997894	0.0315764	0.0315764	0.0196736	0.0420531	0.0315764	0.0231566	0.0231566	0.0315764	0.015768	0.0268917	0.0209283	0.038545	0.0209283	0.0315764	0.0168594	0.0209283	0.029061	0.0506398	0.0231566	0.00997894	0.00997894	0.0315764	0.0231566	0.00997894	0.0471829	0.00997894	0.0315764	0.0209283	0.015768	0.029061	0.0196736	0.0268917	0.038545	0.00997894	0.0240564	0.0168594	0.0240564	0.0196736	0.0240564	0.0231566	0.0315764	0.0315764	0.0315764	0.029061	0.0209283	0.0196736	0.029061	0.0231566	0.0231566	0.015768	0.053787	0.0168594	0.0331031	0.0168594	0.0315764	0.0315764	0.0196736	0.00997894	0.0351317	0.0196736	0.0196736	0.029061	0.0196736	0.0315764	0.0315764	0.0168594	0.0231566	0.00997894	0.015768	0.0316164	0.00997894	0.0196736	0.0504271	0.0315764	0.0231566	0.0315764	0
CCRL2	0.0385218	0.508347	0.0231566	0.174296	0.493246	0.0315764	0.118163	0.0231566	0.0315764	0.0315764	0.114735	0.0715438	0.15854	0.0196736	0.885019	0.0315764	0.114735	0.086113	0.0268917	0.114735	0.0955521	0.0422906	0.258723	0.0196736	0.174935	0.0315764	0.271941	0.0809299	0.0506398	0.00997894	0.0196736	0.107642	0.0385218	0.0422906	0.202782	0.0397748	0.0315764	0.520337	0.275856	0.00997894	0.191584	0.0315764	0.0231566	0.0315764	0.0315764	0.086113	0.0315764	0.0809299	0.0196736	0.0847299	0.00997894	0.0196736	0.0231566	0.114735	0.0316164	0.114735	0.0451171	0.436392	0.0196736	0.114735	0.124676	0.33852	0.114735	0.15854	0.0315764	0.15854	0.0381232	0.193129	0.15854	0.114735	0.0240564	0.0315764	0.114735	0.0316164	0.0351317	0.114735	0.235606	0.0315764	0.0315764	0.0209283	0.00997894	0.0847299	0.095521	0.0196736	0.119785	0.0422906	0.0196736	0.0535966	0.0975881	0.0231566	0.00997894	0.106323	0.0315764	0.0331031	0.0196736	0.107394	0.00997894	0.086113	0	0.144866	0.293705	0.126431	0.19522	0.029061	0.00997894	0.27113	0.0782811	0.130837	0.0231566	0.563554	0.0315764	0.0315764	0.109938	0.114735	0.113173	0.0535966	0.0240564	0.212976	0.0168594	0.0315764	0.0847299	0.0408771	0.21091	0.254579	0.0617708	0.0315764	0.086113	0.0315764	0.0707655	0.0471829	0.0196736	0.0907899	0.34737	0.0315764	0.114735	0.059868	0.290387	0.0168594	0.00997894	0.313547	0.0506398	0.059868	0.114735	0.293705	0.0315764	0.114868	0.086113	1
SOWAHB	0.0231566	0.0316164	0.0601664	0.0231566	0.0168594	0.0168594	0.0522491	0.130837	0.0196736	0.0535966	0.038545	0.00997894	0.059868	0.054523	0.0638137	0.053787	0.00997894	0.015768	0.00997894	0.0196736	0.0168594	0.0231566	0.0196736	0.159553	0.0738767	0.0268917	0.172524	0.0638137	0.00997894	0.0385218	0.14857	0.0660758	0.0385218	0.00997894	0.0498384	0.00997894	0.00997894	0.0196736	0.0316164	0.015768	0.015768	0.221066	0.0168594	0.0989739	0.149316	0.0783123	0.0196736	0.015768	0.0707517	0.137452	0.0351317	0.00997894	0.00997894	0.0989739	0.015768	0.029061	0.059868	0.179746	0.114868	0.202782	0.0498384	0.0168594	0.0783123	0.130837	0.0196736	0.106323	0.0168594	0.106323	0.0638137	0.0385218	0.00997894	0.0196736	0.0168594	0.00997894	0.015768	0.0268917	0.0989739	0.0385218	0.0601434	0.00997894	0.0268917	0.059868	0.0168594	0.0408771	0.0989739	0.0638137	0.00997894	0.0168594	0.0638137	0.0240564	0.00997894	0.130837	0.14857	0.015768	0.0168594	0.0196736	0.00997894	0.0385218	0.0196736	0.0381232	0.00997894	0.191494	0.0196736	0.0168594	0.00997894	0.029061	0.0196736	0.119785	0.00997894	0.00997894	0.149316	0.0196736	0.086113	0.0638137	0.0638137	0.00997894	0.0231566	0.0196736	0.0315764	0.167074	0.059868	0.0196736	0.0231566	0.0168594	0.0168594	0.0892357	0.086113	0.0240564	0.015768	0.0196736	0.0231566	0.029061	0.0196736	0.0168594	0.00997894	0.0231566	0.0240564	0.0231566	0.015768	0.0168594	0.00997894	0.0738767	0.106323	0.0738767	0.293705	0.130837	0.086113	0
ZNF831	0.00997894	0.0240564	0.0196736	0.0240564	0.0240564	0.0231566	0.0196736	0.00997894	0.0196736	0.0196736	0.0231566	0.0240564	0.0196736	0.0231566	0.0240564	0.0168594	0.0231566	0.0168594	0.0168594	0.0231566	0.00997894	0.029061	0.0168594	0.0240564	0.015768	0.0168594	0.0209283	0.0209283	0.00997894	0.015768	0.0268917	0.0268917	0.015768	0.0209283	0.015768	0.015768	0.0168594	0.015768	0.015768	0.0196736	0.0209283	0.0168594	0.015768	0.00997894	0.0209283	0.015768	0.0196736	0.015768	0.0168594	0.015768	0.0240564	0.0231566	0.0196736	0.00997894	0.00997894	0.0231566	0.00997894	0.00997894	0.0168594	0.015768	0.0316164	0.029061	0.0168594	0.0196736	0.0231566	0.0231566	0.0168594	0.015768	0.0231566	0.0209283	0.015768	0.0196736	0.0168594	0.0168594	0.029061	0.0168594	0.00997894	0.0168594	0.0231566	0.0240564	0.0351317	0.0268917	0.029061	0.00997894	0.015768	0.00997894	0.0240564	0.0268917	0.0316164	0.015768	0.00997894	0.015768	0.0168594	0.0196736	0.0168594	0.0351317	0.00997894	0.0168594	0.00997894	0.029061	0.029061	0.0209283	0.0240564	0.0209283	0.00997894	0.0209283	0.0240564	0.0209283	0.0231566	0.015768	0.0168594	0.0196736	0.0196736	0.0168594	0.0168594	0.00997894	0.0196736	0.0209283	0.0196736	0.00997894	0.00997894	0.0209283	0.0231566	0.0168594	0.00997894	0.0168594	0.0231566	0.0240564	0.0209283	0.0168594	0.015768	0.015768	0.015768	0.0196736	0.0196736	0.0231566	0.015768	0.0231566	0.00997894	0.0316164	0.0240564	0.0196736	0.0168594	0.0268917	0.0168594	0.029061	0.0196736	0
